station_code,station_name,blk_no,building,latitude,longitude,postal,road_name,searchval,type
BP1,Choa Chu Kang,15,CHOA CHU KANG LRT STATION,1.38475541089132,103.74453769781,689813,CHOA CHU KANG AVENUE 4,CHOA CHU KANG LRT STATION,lrt
BP2,South View,50,SOUTH VIEW LRT STATION,1.38029828742401,103.745291799824,688265,CHOA CHU KANG WAY,SOUTH VIEW LRT STATION,lrt
BP3,Keat Hong,30,KEAT HONG LRT STATION,1.37860276612544,103.749055519081,688266,CHOA CHU KANG WAY,KEAT HONG LRT STATION,lrt
BP4,Teck Whye,10,TECK WHYE LRT STATION,1.37668467920811,103.753712232337,688267,CHOA CHU KANG WAY,TECK WHYE LRT STATION,lrt
BP5,Phoenix,40,PHOENIX LRT STATION,1.37861545104086,103.757995558346,689483,CHOA CHU KANG ROAD,PHOENIX LRT STATION,lrt
BP6,Bukit Panjang,11,BUKIT PANJANG LRT STATION,1.37792612935449,103.763103024153,678268,PETIR ROAD,BUKIT PANJANG LRT STATION,lrt
BP7,Petir,31,PETIR LRT STATION,1.37777204259085,103.766645782497,678269,PETIR ROAD,PETIR LRT STATION,lrt
BP8,Pending,9,PENDING LRT STATION,1.3761357433499,103.771261175571,678296,PENDING ROAD,PENDING LRT STATION,lrt
BP9,Bangkit,20,BANGKIT LRT STATION,1.38002223010089,103.772647370452,679939,BUKIT PANJANG RING ROAD,BANGKIT LRT STATION,lrt
BP10,Fajar,40,FAJAR LRT STATION,1.38452079667567,103.770808582548,679004,FAJAR ROAD,FAJAR LRT STATION,lrt
BP11,Segar,50,SEGAR LRT STATION,1.38778508663365,103.769599685249,679940,BUKIT PANJANG RING ROAD,SEGAR LRT STATION,lrt
BP12,Jelapang,70,JELAPANG LRT STATION,1.38673625670363,103.764533143861,679941,BUKIT PANJANG RING ROAD,JELAPANG LRT STATION,lrt
SE1,Compassvale,10,COMPASSVALE LRT STATION,1.39449304614615,103.900492450944,545055,COMPASSVALE STREET,COMPASSVALE LRT STATION,lrt
SE2,Rumbia,70,RUMBIA LRT STATION,1.39146849670995,103.905973595042,545054,RIVERVALE DRIVE,RUMBIA LRT STATION,lrt
SE3,Bakau,50,BAKAU LRT STATION,1.38799293453417,103.9054139919,545053,RIVERVALE DRIVE,BAKAU LRT STATION,lrt
SE4,Kangkar,20,KANGKAR LRT STATION,1.3839591146993,103.90222537044,545052,RIVERVALE DRIVE,KANGKAR LRT STATION,lrt
SE5,Ranggung,30,RANGGUNG LRT STATION,1.3842335605514,103.897194669436,545046,SENGKANG EAST AVENUE,RANGGUNG LRT STATION,lrt
SW1,Cheng Lim,5,CHENG LIM LRT STATION,1.39627763152715,103.893797180915,545047,ANCHORVALE STREET,CHENG LIM LRT STATION,lrt
SW2,Farmway,35,FARMWAY LRT STATION,1.39717019646603,103.889304810053,545048,ANCHORVALE STREET,FARMWAY LRT STATION,lrt
SW3,Kupang,60,KUPANG LRT STATION,1.39821282839768,103.881256221983,797697,FERNVALE STREET,KUPANG LRT STATION,lrt
SW4,Thanggam,40,THANGGAM LRT STATION,1.39731815554563,103.875635156633,797699,FERNVALE ROAD,THANGGAM LRT STATION,lrt
SW5,Fernvale,10,FERNVALE LRT STATION,1.39188588769448,103.876308611649,797698,FERNVALE ROAD,FERNVALE LRT STATION,lrt
SW6,Layar,11,LAYAR LRT STATION,1.39207983851612,103.880029600818,797700,SENGKANG WEST AVENUE,LAYAR LRT STATION,lrt
SW7,Tongkang,80,TONGKANG LRT STATION,1.38934795343275,103.885844149844,545050,SENGKANG EAST AVENUE,TONGKANG LRT STATION,lrt
SW8,Renjong,60,RENJONG LRT STATION,1.38672392187267,103.890539426996,545049,SENGKANG EAST AVENUE,RENJONG LRT STATION,lrt
PE1,Cove,50,COVE LRT STATION,1.39928198481483,103.905961943934,828858,PUNGGOL FIELD,COVE LRT STATION,lrt
PE2,Meridian,60,MERIDIAN LRT STATION,1.39691205316247,103.908950216874,828857,PUNGGOL FIELD,MERIDIAN LRT STATION,lrt
PE3,Coral Edge,70,CORAL EDGE LRT STATION,1.39390922616926,103.912580855034,828856,PUNGGOL FIELD,CORAL EDGE LRT STATION,lrt
PE4,Riviera,40,RIVIERA LRT STATION,1.39452449590886,103.916166058794,828852,PUNGGOL EAST,RIVIERA LRT STATION,lrt
PE5,Kadaloor,60,KADALOOR LRT STATION,1.39950911293252,103.916574964987,828853,PUNGGOL DRIVE,KADALOOR LRT STATION,lrt
PE6,Oasis,50,OASIS LRT STATION,1.40228667724756,103.912727355403,828854,PUNGGOL DRIVE,OASIS LRT STATION,lrt
PE7,Damai,40,DAMAI LRT STATION,1.40523483636955,103.908603543654,828855,PUNGGOL DRIVE,DAMAI LRT STATION,lrt
PW1,Sam Kee,10,SAM KEE LRT STATION,1.40961268528805,103.904831550608,828851,SENTUL CRESCENT,SAM KEE LRT STATION,lrt
PW2,Teck Lee,101,TECK LEE LRT STATION,1.41277089374632,103.906577622768,828861,PONGGOL SEVENTEENTH AVENUE,TECK LEE LRT STATION,lrt
PW3,Punggol Point,81,PUNGGOL POINT LRT STATION,1.41684852058576,103.906650790673,828644,PUNGGOL WAY,PUNGGOL POINT LRT STATION,lrt
PW4,Samudera,61,SAMUDERA LRT STATION,1.41590171941401,103.902156316075,828645,PUNGGOL WAY,SAMUDERA LRT STATION,lrt
PW5,Nibong,41,NIBONG LRT STATION,1.4118704586919,103.900313817227,828862,PUNGGOL WAY,NIBONG LRT STATION,lrt
PW6,Sumang,31,SUMANG LRT STATION,1.40845242600029,103.898558454203,828863,PUNGGOL WAY,SUMANG LRT STATION,lrt
PW7,Soo Teck,21,SOO TECK LRT STATION,1.40508858446677,103.897209649938,828864,PUNGGOL WAY,SOO TECK LRT STATION,lrt
